Iteration	Posterior	Likelihood	Prior	rate_log_sd	root_freqs[1]	root_freqs[2]	tree_length
0	-79.51262	-123.7012	44.18858	0.6916115	0.511786	0.488214	0.7603557
6	-73.23066	-117.656	44.4253	0.5066445	0.43066	0.56934	0.6747799
12	-73.71026	-118.1569	44.44659	0.3693958	0.4372	0.5628	0.8455639
18	-69.69086	-113.5835	43.89269	0.2309079	0.462367	0.537633	1.467373
24	-74.97099	-119.1501	44.17911	0.1043866	0.279724	0.720276	1.343226
30	-69.88538	-113.8707	43.98531	0.9694862	0.524313	0.475687	0.6251857
36	-71.5762	-115.2982	43.722	0.1745396	0.81525	0.18475	1.634979
42	-78.1039	-121.1576	43.05367	0.3910892	0.232458	0.767542	1.948617
48	-72.26065	-116.9289	44.66828	0.2158073	0.219019	0.780981	0.7546228
54	-71.27305	-115.9248	44.65175	0.2400573	0.44016	0.55984	0.7430092
60	-82.10762	-125.8952	43.78757	0.710653	0.623074	0.376926	1.164445
66	-85.69944	-130.1178	44.41833	0.1015936	0.307849	0.692151	1.14531
72	-76.44831	-120.7898	44.34153	0.1783922	0.374814	0.625186	1.14531
78	-78.60479	-122.9405	44.33566	0.5299217	0.543744	0.456256	0.7811511
84	-74.09319	-117.7028	43.60963	1.369012	0.332881	0.667119	0.4617907
90	-68.88531	-112.7081	43.82282	0.8883558	0.161355	0.838645	0.9629882
96	-66.70944	-110.9865	44.2771	0.5386329	0.224469	0.775531	0.8458829
102	-68.13912	-111.8904	43.75124	0.4075303	0.274037	0.725963	1.44057
108	-70.69955	-114.5907	43.89119	0.7658413	0.423563	0.576437	1.01768
114	-74.25991	-118.5124	44.25246	0.07750263	0.45735	0.54265	1.305898
120	-73.04322	-117.5216	44.47838	0.1759018	0.392947	0.607053	1.020387
126	-69.32993	-113.5382	44.20829	0.4497667	0.421872	0.578128	1.016672
132	-68.94175	-113.175	44.23329	0.146215	0.437961	0.562039	1.265358
138	-74.04089	-116.8422	42.80135	0.3782756	0.543248	0.456752	2.124358
144	-68.85478	-113.5245	44.66972	0.09092841	0.229065	0.770935	0.9099047
150	-71.50112	-115.2632	43.76207	0.4996096	0.229065	0.770935	1.360536
156	-67.71786	-111.2059	43.48802	0.7736585	0.0453822	0.954618	1.360536
